snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09alu,1,39633304558764813,174,4,20210405,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744127307916863,2.75092937715152e-05,0.0,13555.0353460796,3268.97682878166,GALAXY,
09alu,1,39633304558764813,182,4,20210506,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744554092356092,2.53984261047757e-05,0.0,11348.8169849887,5309.30698201107,GALAXY,
09aus,1,39627782463952435,20094,3,20210609,225.23132654395,-0.192353656000737,0.0,0.0,0.0,False,south,225.230519,-0.192536,0.04,PTF-iPTF,1.0,None,None,PTF09aus,PTF09aus,0.0411256227470888,4.46625317545576e-06,0.0,10999.6036213636,9813.8725861311,GALAXY,
09bad,2,39633339597983311,310,6,20210410,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,-0.00199570145091582,4.13115987161332e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09bad,2,39633339597983311,318,6,20210501,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,0.138983500137476,6.51857867518689e-05,0.0,8978.49168471899,291.237223788165,GALAXY,
09bw,1,39633228843189320,20771,6,20210618,226.247541667,48.6466388889,0.0,0.0,0.0,False,north,226.258517,48.6672,0.1468,PTF-iPTF,1.0,None,None,PTF09bw,PTF09bw,0.0244531748979698,2.06191763964871e-06,0.0,19018.4982587397,20119.4321392477,GALAXY,
09dfk,1,39627977327119707,21225,3,20211116,347.306128955677,7.80454754684198,0.0,0.0,0.0,False,south,347.30593,7.804291,0.016,PTF-iPTF,1.0,None,None,PTF09dfk,PTF09dfk,0.0161567637354325,1.0463317715453e-06,0.0,12573.488558799,31109.7200517356,GALAXY,
09dih,2,39633145120689564,20768,8,20210521,227.570600565372,43.730332386643,0.0,0.0,0.0,False,north,227.579318,43.72831,0.119,PTF-iPTF,1.0,None,None,PTF09dih,PTF09dih,0.119091580205759,7.50394199397709e-05,0.0,11005.9486253276,182.18311890075,GALAXY,
09dnl,1,39628492354096897,20913,4,20210618,260.923780365706,30.4973786326702,0.0,0.0,0.0,False,south,260.924126,30.497098,0.019,PTF-iPTF,1.0,None,None,PTF09dnl,PTF09dnl,0.023342376024886,9.56021978636726e-06,0.0,9088.89104803465,311.208074489608,GALAXY,
09dnp,1,39633240771792273,20770,8,20210619,229.855666667,49.5013055556,0.0,0.0,0.0,False,north,229.851529,49.49898,0.037,PTF-iPTF,1.0,None,None,PTF09dnp,PTF09dnp,0.037369138425878,7.82739409931519e-06,0.0,27319.1612540483,40063.1180909062,GALAXY,
09dsy,1,39627664914386799,21439,5,20211114,53.3479166667,-4.99869444444,0.0,0.0,0.0,False,south,53.3421,-4.998677,0.0131,PTF-iPTF,1.0,None,None,PTF09dsy,PTF09dsy,0.013102557267239,3.39962894362721e-06,0.0,55360.9474290777,166224.49090029,GALAXY,
09dyg,1,39628212581437505,23216,7,20211121,331.869165289041,17.6757898641833,0.0,0.0,0.0,False,south,331.86804,17.675685,0.127,PTF-iPTF,1.0,None,None,PTF09dyg,PTF09dyg,0.123982507810039,8.3885518587363e-06,0.0,8063.02502867579,930.636906534433,GALAXY,
09dyi,1,39627971232794034,24400,4,20211117,340.928155810466,7.43999056430015,0.0,0.0,0.0,False,south,340.9282,7.439891,0.196,PTF-iPTF,1.0,None,None,PTF09dyi,PTF09dyi,0.197128461355966,1.05510818523798e-05,0.0,7861.37148487568,548.43303334713,GALAXY,
09dyp,1,39627910998395875,20853,6,20210705,331.820437561312,5.04044879334279,0.0,0.0,0.0,False,south,331.820195,5.040377,0.144,PTF-iPTF,1.0,None,None,PTF09dyp,PTF09dyp,0.140224473732136,4.26499576302045e-05,0.0,10329.9807969145,434.391691435128,GALAXY,
09dyw,2,39628148739935445,23978,5,20211114,328.834820883055,15.067405556234,0.0,0.0,0.0,False,south,328.832439,15.066527,0.21,PTF-iPTF,1.0,None,None,PTF09dyw,PTF09dyw,1.69663494662002,0.000290327148345706,0.0,7268.23432876915,13.9564948407933,GALAXY,
09dyz,1,39628320668651697,21240,4,20211014,348.861571522126,22.5210214408186,0.0,0.0,0.0,False,south,348.862671,22.521762,0.06,PTF-iPTF,1.0,None,None,PTF09dyz,PTF09dyz,0.0585432599755344,9.08097677824624e-06,0.0,7524.65945901722,465.878616072237,GALAXY,
09eoi,1,39628096302743855,21227,8,20211101,351.054084973939,12.7795393069568,0.0,0.0,0.0,False,south,351.05362,12.778504,0.042,PTF-iPTF,1.0,None,None,PTF09eoi,PTF09eoi,0.0409005376695696,1.21864151137902e-05,0.0,7603.90719745681,416.011681552976,GALAXY,
09fma,1,39627545003432388,23037,6,20211024,47.5964818926179,-10.0003123974342,0.0,0.0,0.0,False,south,47.597195,-9.999455,0.031,PTF-iPTF,1.0,None,None,PTF09fma,PTF09fma,0.0317069071348113,9.78016804532627e-06,0.0,7838.26018671878,968.804422034831,GALAXY,
09fou,1,39627953419586271,22796,4,20211223,351.835069190608,6.86375373886656,0.0,0.0,0.0,False,south,351.835662,6.864122,0.195,PTF-iPTF,1.0,None,None,PTF09fou,PTF09fou,0.195112256272832,1.34929005754962e-05,0.0,8073.67381998897,344.472421318293,GALAXY,
