snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09alu,1,39633304558764813,174,4,20210405,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744134527379306,2.77991997597981e-05,0.0,13511.5178429652,3271.01719895145,GALAXY,
09alu,1,39633304558764813,182,4,20210506,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744549097489034,2.54282286393992e-05,0.0,11334.5993170515,5303.23755960865,GALAXY,
09aus,1,39627782463952435,20094,3,20210609,225.23132654395,-0.192353656000737,0.0,0.0,0.0,False,south,225.230519,-0.192536,0.04,PTF-iPTF,1.0,None,None,PTF09aus,PTF09aus,0.0411256227411747,4.4662532667864e-06,0.0,10999.5983951539,9813.88065077364,GALAXY,
09bad,2,39633339597983311,310,6,20210410,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09bad,2,39633339597983311,318,6,20210501,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,0.138983835216883,6.52423285393798e-05,0.0,8977.25069712661,290.940851703286,GALAXY,
09bw,1,39633228843189320,20771,6,20210618,226.247541667,48.6466388889,0.0,0.0,0.0,False,north,226.258517,48.6672,0.1468,PTF-iPTF,1.0,None,None,PTF09bw,PTF09bw,0.0244531750511241,2.06196932305508e-06,0.0,19018.825624764,20119.3207394481,GALAXY,
09dih,2,39633145120689564,20768,8,20210521,227.570600565372,43.730332386643,0.0,0.0,0.0,False,north,227.579318,43.72831,0.119,PTF-iPTF,1.0,None,None,PTF09dih,PTF09dih,0.119091523955735,7.50704156520025e-05,0.0,11005.1068438734,181.935702561866,GALAXY,
09dnl,1,39628492354096897,20913,4,20210618,260.923780365706,30.4973786326702,0.0,0.0,0.0,False,south,260.924126,30.497098,0.019,PTF-iPTF,1.0,None,None,PTF09dnl,PTF09dnl,0.0233423766604496,9.56012677165839e-06,0.0,9089.1679456057,311.206202763133,GALAXY,
09dnp,1,39633240771792273,20770,8,20210619,229.855666667,49.5013055556,0.0,0.0,0.0,False,north,229.851529,49.49898,0.037,PTF-iPTF,1.0,None,None,PTF09dnp,PTF09dnp,0.0373691297359225,7.82751939985884e-06,0.0,27317.7983639389,40063.33985213,GALAXY,
09dyp,1,39627910998395875,20853,6,20210705,331.820437561312,5.04044879334279,0.0,0.0,0.0,False,south,331.820195,5.040377,0.144,PTF-iPTF,1.0,None,None,PTF09dyp,PTF09dyp,0.140224414651586,4.26476617853e-05,0.0,10330.3397818971,434.27214379143,GALAXY,
