snname,index,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zdisp
09a,1,215.982879297046,35.1855457748143,0.0,0.0,0.0,False,north,215.982747,35.184821,0.0555,PTF-iPTF,1.0,None,None,PTF09a,PTF09a,,,
09aa,1,173.336030870483,-9.41120770979876,0.0,0.0,0.0,False,south,173.336234,-9.41118,0.12,PTF-iPTF,1.0,None,None,PTF09aa,PTF09aa,,,
09ab,1,140.565583706224,45.7479369207712,0.0,0.0,0.0,False,north,140.565681,45.747841,0.175,PTF-iPTF,1.0,None,None,PTF09ab,PTF09ab,,,
09ac,1,186.149689667389,47.2375270028375,0.0,0.0,0.0,False,north,186.147399,47.237755,0.161,PTF-iPTF,1.0,None,None,PTF09ac,PTF09ac,,,
09ad,1,165.77753471386,50.1598975924791,0.0,0.0,0.0,False,north,165.777761,50.159969,0.201,PTF-iPTF,1.0,None,None,PTF09ad,PTF09ad,,,
09ads,1,219.964130182692,13.765426924329,0.0,0.0,0.0,False,south,219.964058,13.76535,0.06,PTF-iPTF,1.0,None,None,PTF09ads,PTF09ads,,,
09ads,2,219.965961430761,13.7488714791715,0.0,0.0,0.0,False,south,219.964058,13.76535,0.06,PTF-iPTF,1.0,None,None,PTF09ads,PTF09ads,,,
09agm,1,259.1402002364,43.5665610520568,0.0,0.0,0.0,False,north,259.140027,43.566566,0.07,PTF-iPTF,1.0,None,None,PTF09agm,PTF09agm,,,
09agy,1,253.03032619004,43.2984043827094,0.0,0.0,0.0,False,north,253.031008,43.298055,0.057,PTF-iPTF,1.0,None,None,PTF09agy,PTF09agy,,,
09ahf,1,258.007320247323,20.5018500817786,0.0,0.0,0.0,False,south,258.007293,20.502289,0.08,PTF-iPTF,1.0,None,None,PTF09ahf,PTF09ahf,,,
09ahf,2,258.007739562633,20.5074275588298,0.0,0.0,0.0,False,south,258.007293,20.502289,0.08,PTF-iPTF,1.0,None,None,PTF09ahf,PTF09ahf,,,
09aj,1,146.37683109524,6.53981884077491,0.0,0.0,0.0,False,south,146.37703,6.540386,0.09,PTF-iPTF,1.0,None,None,PTF09aj,PTF09aj,,,
09akb,1,245.574546278508,51.1497580929635,0.0,0.0,0.0,False,north,245.578255,51.146558,0.055,PTF-iPTF,1.0,None,None,PTF09akb,PTF09akb,,,
09akt,1,262.807825068453,36.4377001474296,0.0,0.0,0.0,False,north,262.792007,36.427684,0.05,PTF-iPTF,1.0,None,None,PTF09akt,PTF09akt,,,
09alu,1,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.07442534208392429,2.002764016267831e-05,3.892100347040184e-05
09aly,1,234.639588817741,13.3451856887013,0.0,0.0,0.0,False,south,234.637804,13.344254,0.066,PTF-iPTF,1.0,None,None,PTF09aly,PTF09aly,,,
09amm,1,230.872537551791,37.8788497266505,0.0,0.0,0.0,False,north,230.87221,37.878798,0.07,PTF-iPTF,1.0,None,None,PTF09amm,PTF09amm,,,
09aro,1,227.978628225124,48.6693162632662,0.0,0.0,0.0,False,north,227.978785,48.669406,0.085,PTF-iPTF,1.0,None,None,PTF09aro,PTF09aro,,,
09aro,2,227.963994489333,48.6696901837097,0.0,0.0,0.0,False,north,227.978785,48.669406,0.085,PTF-iPTF,1.0,None,None,PTF09aro,PTF09aro,,,
09atw,1,252.760288964271,26.6045409781905,0.0,0.0,0.0,False,south,252.760192,26.604571,0.053,PTF-iPTF,1.0,None,None,PTF09atw,PTF09atw,,,
09aus,1,225.23132654395,-0.192353656000737,0.0,0.0,0.0,False,south,225.230519,-0.192536,0.04,PTF-iPTF,1.0,None,None,PTF09aus,PTF09aus,,,
09aux,1,242.316043223723,29.293612890652,0.0,0.0,0.0,False,south,242.315987,29.293528,0.047,PTF-iPTF,1.0,None,None,PTF09aux,PTF09aux,,,
09av,1,138.803572187871,19.0970620307503,0.0,0.0,0.0,False,south,138.803217,19.096335,0.218,PTF-iPTF,1.0,None,None,PTF09av,PTF09av,,,
09awd,1,221.108013870028,12.1074020985103,0.0,0.0,0.0,False,south,221.107776,12.107269,0.153,PTF-iPTF,1.0,None,None,PTF09awd,PTF09awd,,,
09awk,1,204.484852183372,22.917991817056,0.0,0.0,0.0,False,south,204.484826,22.918011,0.062,PTF-iPTF,1.0,None,None,PTF09awk,PTF09awk,,,
09aws,1,227.621919500894,20.923125927928,0.0,0.0,0.0,False,south,227.622047,20.92222,0.08,PTF-iPTF,1.0,None,None,PTF09aws,PTF09aws,,,
