snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09alu,1,39633304558764813,174,4,20210405,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744055331599353,2.85803684176622e-05,0.0,13004.7561040819,3120.49864114216,GALAXY,
09alu,1,39633304558764813,182,4,20210506,214.572815677136,53.7889867128657,0.0,0.0,0.0,False,north,214.573979,53.792253,0.071,PTF-iPTF,1.0,None,None,PTF09alu,PTF09alu,0.0744444541634057,2.80731632692646e-05,0.0,9890.1403169129,4930.72703954857,GALAXY,
09bad,2,39633339597983311,310,6,20210410,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09bad,2,39633339597983311,318,6,20210501,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,0.138965756094603,6.20083526650626e-05,0.0,8099.69866591226,274.419821178541,GALAXY,
09iag,1,39627927029023382,148,6,20210407,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626937203939376,1.39339702829616e-05,0.0,10308.6718282327,2991.63757965714,GALAXY,
09iag,1,39627927029023382,153,6,20210504,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626222163004273,1.68885186610408e-05,0.0,10766.7241178825,3216.58675887436,GALAXY,
09iag,1,39627927029023382,156,6,20210508,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626735893275919,1.43011665213625e-05,0.0,10811.3919847496,3104.66345728561,GALAXY,
09idu,1,39633300511263781,81057,2,20210324,169.828425980696,53.6176885698633,0.0,0.0,0.0,False,north,169.828158,53.617646,0.1067,PTF-iPTF,1.0,None,None,PTF09idu,PTF09idu,0.106836098681173,3.09173137903207e-05,0.0,10484.8163113035,3309.49518506974,GALAXY,
09ps,1,39633332819987400,310,6,20210410,243.535685612622,55.6947960893799,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,0.107271629772565,8.07973408885534e-06,0.0,8395.12483650446,567.962794244289,GALAXY,
09ps,2,39633332819987400,310,6,20210410,243.53629345387,55.6949796893061,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,0.107271629772565,8.07973408885534e-06,0.0,8395.12483650446,567.962794244289,GALAXY,
09si,1,39633132084789477,336,0,20210407,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09si,1,39633132084789477,337,0,20210410,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392839414600111,1.12385281347485e-05,0.0,9672.02305866592,2774.10877178796,GALAXY,
09si,1,39633132084789477,343,0,20210430,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392674805488793,6.07925887874351e-06,0.0,12793.9964221716,5335.74818849564,GALAXY,
09uj,1,39633300964248355,179,4,20210428,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649806599247742,6.65505415541851e-06,0.0,7504.18977944553,790.343387916684,GALAXY,
09uj,1,39633300964248355,183,5,20210509,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649908269378268,6.41476167628772e-06,0.0,8098.86413814127,870.59333537519,GALAXY,
09uj,1,39633300964248355,184,5,20210529,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649932432952422,6.81410655234491e-06,0.0,7630.70402377844,858.843136847019,GALAXY,
10bci,1,39633345692304588,81066,5,20210326,179.203758838581,56.6731484654392,0.0,0.0,0.0,False,north,179.202475,56.673317,0.118,PTF-iPTF,1.0,None,None,PTF10bci,PTF10bci,0.118830020568287,1.17612136135908e-05,0.0,8642.29008503258,1214.51429661689,GALAXY,
10bzf,1,39633332178260069,81058,2,20210324,176.01244093086,55.6895536122963,0.0,0.0,0.0,False,north,176.012451,55.69101,0.0498,PTF-iPTF,1.0,None,None,PTF10bzf,PTF10bzf,0.0499255282404102,5.77143990316052e-06,0.0,7735.85710830986,821.87430267036,GALAXY,
10ctd,1,39627835551257442,80742,1,20210328,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125298511345505,9.36411862715109e-06,0.0,12410.4085796773,9664.32223716378,GALAXY,
10ctd,1,39627835551257442,16,3,20210417,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,1.22059279546195,9.60429333053544e-05,4.0,3464.9940636456,1.52841211669147,GALAXY,
10ctd,1,39627835551257442,17,2,20210429,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125303753905481,1.56849404995582e-05,0.0,8972.14353326708,3092.25850009192,GALAXY,
10ctd,1,39627835551257442,21,3,20210503,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.1253405822537,1.77950296012249e-05,0.0,8897.25444507599,2899.41073384881,GALAXY,
