snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09aus,1,39627782463952435,20094,3,20210609,225.23132654395,-0.192353656000737,0.0,0.0,0.0,False,south,225.230519,-0.192536,0.04,PTF-iPTF,1.0,None,None,PTF09aus,PTF09aus,0.041125449165746,4.45403476910717e-06,0.0,10107.4609018117,9438.26701273024,GALAXY,
09bw,1,39633228843189320,20771,6,20210618,226.247541667,48.6466388889,0.0,0.0,0.0,False,north,226.258517,48.6672,0.1468,PTF-iPTF,1.0,None,None,PTF09bw,PTF09bw,0.0244519669893265,2.11574951329236e-06,0.0,16357.6090335548,19229.0168791115,GALAXY,
09dih,2,39633145120689564,20768,8,20210521,227.570600565372,43.730332386643,0.0,0.0,0.0,False,north,227.579318,43.72831,0.119,PTF-iPTF,1.0,None,None,PTF09dih,PTF09dih,0.119043541464484,7.69824752795905e-05,0.0,7916.23036300903,162.483191122301,GALAXY,
09dnl,1,39628492354096897,20913,4,20210618,260.923780365706,30.4973786326702,0.0,0.0,0.0,False,south,260.924126,30.497098,0.019,PTF-iPTF,1.0,None,None,PTF09dnl,PTF09dnl,0.0233421960165137,9.66106973720284e-06,0.0,7912.37166984007,308.222317863256,GALAXY,
09dnp,1,39633240771792273,20770,8,20210619,229.855666667,49.5013055556,0.0,0.0,0.0,False,north,229.851529,49.49898,0.037,PTF-iPTF,1.0,None,None,PTF09dnp,PTF09dnp,0.0373827100561505,7.91173366213054e-06,0.0,25381.7800297774,41602.8211517297,GALAXY,
09dyp,1,39627910998395875,20853,6,20210705,331.820437561312,5.04044879334279,0.0,0.0,0.0,False,south,331.820195,5.040377,0.144,PTF-iPTF,1.0,None,None,PTF09dyp,PTF09dyp,0.14022556549292,5.29298055557375e-05,0.0,8114.35663596354,336.637372783385,GALAXY,
09fr,1,39633166704576982,20777,8,20210617,222.499032132068,44.9171923806087,0.0,0.0,0.0,False,north,222.500508,44.918276,0.08,PTF-iPTF,1.0,None,None,PTF09fr,PTF09fr,0.0798721345678068,1.09281633863178e-05,0.0,13218.8308832943,7566.2350243032,GALAXY,
09gpu,1,39633481138964427,20004,2,20210519,176.348070400473,68.9517529681835,0.0,0.0,0.0,False,north,176.352927,68.951986,0.08,PTF-iPTF,1.0,None,None,PTF09gpu,PTF09gpu,0.0819733418588494,4.27496324050101e-06,0.0,8766.4472168088,4161.17810410261,GALAXY,
09inv,2,39627691661460487,20083,3,20210518,211.090035953708,-4.06047196291791,0.0,0.0,0.0,False,south,211.088857,-4.060858,0.05,PTF-iPTF,1.0,None,None,PTF09inv,PTF09inv,0.0544352979810737,7.47307859637303e-06,0.0,7891.56903615594,702.009376440896,GALAXY,
09pr,1,39633204503645051,20771,2,20210618,223.991991452995,47.2129365378156,0.0,0.0,0.0,False,north,223.991635,47.212915,0.031,PTF-iPTF,1.0,None,None,PTF09pr,PTF09pr,0.0310983898231069,4.69189304668249e-06,0.0,7860.75225714594,1007.35398169607,GALAXY,
09wa,1,39628527959542665,21220,9,20210519,222.666670257598,32.2710391282307,0.0,0.0,0.0,False,north,222.667369,32.270088,0.09,PTF-iPTF,1.0,None,None,PTF09wa,PTF09wa,0.0868770969582283,6.16607641926111e-06,0.0,7925.35593128204,1505.1596724987,GALAXY,
10bbo,2,39627998994895096,20115,6,20210611,211.320697747472,8.7956744200877,0.0,0.0,0.0,False,south,211.3248,8.795191,0.15,PTF-iPTF,1.0,None,None,PTF10bbo,PTF10bbo,0.157559066613412,1.56100127346591e-05,0.0,8248.94130626321,809.313783973455,GALAXY,
10bcn,1,39633001016986232,21163,9,20210607,213.489002026154,36.1232394923348,0.0,0.0,0.0,False,north,213.489264,36.123365,0.154,PTF-iPTF,1.0,None,None,PTF10bcn,PTF10bcn,0.155153343014194,7.86582680303609e-06,0.0,8542.01111280918,1972.71986758709,GALAXY,
